model_term,value,mean,scale
intercept,0.10941083190878949,1,1
0,0.80488381487662963,0.63235297529338996,0.21569760447130756
1,5.5565315097838051,0.39584394330381378,0.17588066071058481
2,1.5263309059358316,0.9606946003534047,0.055701396073799203
3,4.0081390190998984,0.087038732399982416,0.213220313020375
4,-8.9773540836544505,0.36695400610380885,0.14578064149070313
5,-2.5121248037515191,-0.15665142838996618,0.0729607362981647
6,2.3510688545527256,0.13581605485877626,0.075465661725666794
7,-1.2202927985289949,-0.26673286146454755,0.68634788317337314
8,-0.04126037339571733,-0.12516049140855581,0.66491729957114387
